Name,Lyrics
I Knew You Were Trouble,"Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground
Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

No apologies. He'll never see you cry
Pretends he doesn't know that he's the reason why
You're drowning, you're drowning, you're drowning
Now I heard you moved on from whispers on the street
A new notch in your belt is all I'll ever be
And now I see, now I see, now I see

He was long gone when he met me
And I realize the joke is on me, hey!

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (yeah)
Now I'm lying on the cold hard ground
Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

And the saddest fear comes creeping in
That you never loved me or her, or anyone, or anything, yeah

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (Never been)
'Til you put me down, oh
I knew you were trouble when you walked in (Knew it right there)
So shame on me now (Knew it right there)
Flew me to places I'd never been (Ooh)
Now I'm lying on the cold hard ground
Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

I knew you were trouble when you walked in
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble"
I Wanna Know (feat. Bea Miller),"Is she the one
The one you've been waiting for?
Is she the one?
Is she the one
The one you've been dreaming of?
Is she the one?

I'm tired of staying up all night with you on my mind
Still I'm laying here
Yeah, I'm laying in the shirt you used to like
No, I shouldn't mind
All I think about is

Does she move your body?
Like I moved your body?
'Cause I wanna know, yeah, I wanna know
Does she make you feel wanted?
Is she all you wanted?
'Cause I wanna know, yeah, I wanna know

I want to know
I want to know
Is she all you wanted?
'Cause I wanna know, yeah, I wanna know

Is she the one
The one that I couldn't be for you?
Is she the one?
Mm, I hate that you're the one
That I never get over
That I wanna get closer to

I'm tired of staying up all night with you on my mind
Still I'm laying here
Yeah, I'm laying in the shirt you used to like
No, I shouldn't mind
All I think about is

Does she move your body?
Like I moved your body?
'Cause I wanna know, yeah, I wanna know
Does she make you feel wanted?
Is she all you wanted?
'Cause I wanna know, yeah, I wanna know

I want to know
I want to know
Is she all you wanted?
'Cause I wanna know, yeah, I wanna know
I want to know

Does she move your body?
Like I moved your body?
'Cause I wanna know, yeah, I wanna know
Does she make you feel wanted?
Is she all you wanted?
'Cause I wanna know, yeah, I wanna know

I want to know
I want to know
Is she all you wanted?
'Cause I wanna know, yeah, I wanna know

I want to know
Is she all you wanted?
'Cause I wanna know, yeah, I wanna know
I want to know (I want)
Is she all you wanted? (I want)
'Cause I wanna know, yeah, I wanna know
I want to know"
Grease (Original Motion Picture Soundtrack),"(Grease is the word, is the word that you heard)
It's got a groove, it's got a meaning
Grease is the time, is the place, is the motion
Grease is the way we are feeling

We take the pressure and we throw away
Conventionality belongs to yesterday
There is a chance that we can make it so far
We start believing now that we can be who we are
Grease is the word

(Grease is the word, is the word that you heard)
It's got a groove, it's got a meaning
Grease is the time, is the place, is the motion
Now, grease is the way we are feeling

This is a life of illusion
Wrapped up in trouble
Laced with confusion
What are we doing here?

We take the pressure and we throw away
Conventionality belongs to yesterday
There is a chance that we can make it so far
We start believing now that we can be who we are (be who we are)
Grease is the word

(Grease is the word, is the word that you heard)
It's got a groove, it's got a meaning
Grease is the time, is the place, is the motion
Now, grease is the way we are feeling

(Grease is the word, is the word that you heard)
It's got a groove, it's got a meaning
Grease is the time, is the place, is the motion
Now, grease is the way we are feeling

Grease is the word
Is the word"
Take A Bow,"Very entertaining
But it's over now (But it's over now)
Go on and take a bow

(Oh-oh)
Grab your clothes and get gone (Get gone)
You better hurry up
Before the sprinklers come on (Come on)
Talking' bout' 'Girl, I love you, you're the one'
This just looks like the re-run
Please, what else is on? (Ooh, oh)

And don't tell me you're sorry 'cause you're not (Mm)
Baby, when I know you're only sorry you got caught

But you put on quite a show (Ooh, oh)
Really had me going
But now it's time to go (Ooh, oh)
Curtain's finally closing
That was quite a show (Ooh, oh)
Very entertaining
But it's over now (But it's over now)
Go on and take a bow

Oh, and the award for the best liar goes to you (Goes to you)
For making me believe
That you could be faithful to me
Let's hear your speech, oh
How 'bout a round of applause?
A standing ovation

But you put on quite a show (Ooh, oh)
Really had me going
Now it's time to go (Ooh, oh)
Curtain's finally closing
That was quite a show (Ooh, oh)
Very entertaining
But it's over now (But it's over now)
Go on and take a bow
But it's over now"
Sail Into The Sun,"We can be one
If we can work it out
And the battle is won
Yeah we have come so far
But if the love is gone
Then the damage is done

We sail into the sun
We sail into the sun
Golden rays are shining down on me
They set my soul on fire
And let it burn free
I'm trying to believe
I'm trying to belong
I'd do it all again
I'd do it all for you

I see a world so lost
And the war goes on
No matter the cost
I feel that the time has come
For us to set our sails and sail into the sun

We sail into the sun
We sail into the sun
Golden rays are shining down on me
They set my soul on fire
And let it burn free
I'm trying to believe
I'm trying to belong
I'd do it all again
I'd do it all for you

Golden rays are shining down on me
Yeah golden rays are shining down on me
Shining down on me
Shining down on me"
Wild,"Been awhile since I've seen you around
Finally catching you here on my ground
You look good I can tell you've been sleeping
Isn't this is the kind of party you hate?

I can tell what you think
And you always be making the worst of it all
Did you think that by in love
I'd been crashing and burning straight through the wall

Same as I ever was, I do it all because
Life's too short to not live wild
Same as I ever was, high on a couple drugs
Life's too short to not live wild
Live wild, live wild

I don't care about the consequence
I don't need it all to make any sense
You always hesitate to have a good time
I hope you're happy in your house of glass

I can tell what you think
And you always be making the worst of it all
Did you think that by in love
I'd been crashing and burning straight through the wall

Same as I ever was, I do it all because
Life's too short to not live wild
Same as I ever was, high on a couple drugs
Life's too short to not live wild
Live wild, live wild
Live wild, live wild

Same as I ever was, I do it all because
Life's too short to not live wild
Same as I ever was, high on a couple drugs
Life's too short to not live wild
Live wild, live wild"
Addicted To Ballin' (feat. ScHoolboy Q),"Mustard on the beat, hoe!

Addicted to ballin', I have to get my cash
The money is callin', got bands, got bands, got bands
I'm addicted to ballin' (I, I, I, I, I, I, I)
I'm addicted to ballin' (I, I, I, I, I, I, I)
I have to get my ends

I pull up in my Benz (woah)
Flexin' countin' my bands (woah, woah)
Started gettin' money, I see how it feels to be rich (woah, woah)
I live by the beach now (woah, woah)
That's how a boss should live (woah, woah)
Since I was a toddler, I knew that I would become this (woah, woah)
I cannot move slow (woah, woah)
That's a big, big no (woah, woah)
Gotta chase this money, bankroll after big bankroll
I must get this money (I, I, I, I, I, I, I)
I must get this money (I, I, I, I, I, I, I)
I must get this money (I, I, I, I, I, I, I)
Get this money, get this money

Addicted to ballin', I have to get my cash
The money is callin', got bands, got bands, got bands
I'm addicted to ballin' (I, I, I, I, I, I, I)
I'm addicted to ballin' (I, I, I, I, I, I, I)
I have to get my ends

Huh
Got a hunnid hoes I need bands (woah, woah)
Drunk as fuck now look at my dance (woah, woah)
Where the bitches at? This my jam
Fuck around and get you that Benz
Rich as fuck and turnin' that party up
Used to hide the Glock in my nautica
Nigga know the money be callin' us (yeah, yeah)
Fuck a friend, I'm tryna fuck all of y'all
Talk about he ballin', watch this (watch this bitch)
Bitches start to love me too quick
Went to Oakland with a few crips
Tell Kamaiyah gas break, dip, yeah
Imagine what I paid for the Rollie (Rollie)
Niggas still run from the police (police)
24 karats it's I'm a Kobe, yeah, yeah
Nigga that bitch for the homies, aah

Addicted to ballin', I have to get my cash
The money is callin', got bands, got bands, got bands
I'm addicted to ballin' (I, I, I, I, I, I, I)
I'm addicted to ballin' (I, I, I, I, I, I, I)
I have to get my ends"
I Am The Man,"Everybody held their breath the moment you walked through that door
Everybody thought that I would crumble when you said 'hello'
But I know something that they don't know
I've learned the art of not letting the heartache show

I am the man
Who learned how to lie
Made everyone think that I'm alright
I am the man
Who managed to smile
Foolin' the world for a little while
Seein' her tonight starts this hurtin' inside
I guarantee that she'll never know
'Cause I am the man
Who learned how to lie

I walk across the room to show the two of them how cool I am
Tryin' not to stare at the ring that's there on her left hand
I see the light of his love in her eyes
God I practiced this moment a million times

Someday
I won't be a liar
I'll let my heart feel the fire
Of falling in love again
But until then

I am the man
Who learned how to lie"
Impossible,"I remember years ago
Someone told me I should take
Caution when it comes to love
I did

And you were strong and I was not
My illusion, my mistake
I was careless, I forgot
I did

And now when all is done
There is nothing to say
You have gone and so effortlessly
You have won
You can go ahead tell them

Tell them all I know now
Shout it from the roof tops
Write it on the skyline
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, impossible

Falling out of love is hard
Falling for betrayal is worse
Broken trust and broken hearts
I know, I know

Thinking all you need is there
Building faith on love and words
Empty promises will wear
I know, I know

And now when all is done
There is nothing to say

And if you're done with embarrassing me
On your own you can go ahead tell them

Tell them all I know now
Shout it from the roof tops
Write it on the skyline
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, impossible

I remember years ago
Someone told me I should take
Caution when it comes to love
I did

Tell them all I know now
Shout it from the roof tops
Write it on the skyline
All we had is gone now

Tell them I was happy
And my heart is broken
(Tell them oh) I hoped would be
Impossible, impossible
Impossible, impossible
Impossible, impossible
Impossible, impossible"
Lost (feat. Chelsea Jade),"You're the mouth of the tunnel just before the dark
I'm the headlights speeding through the stars
And we're lost in the spaces of who we are
And we move through the nights 'till we take it too far

Hold it together when we move apart
Let the landscape burn like a dying art
Driven by the energy in our hearts
We were built to be reckless from the start

And the light just flickers past our faces
Living in a dream 'cause we're always wasted
Never stay still when we're chasing places

And the light just flickers past our faces
Living at a dream 'cause we're always wasted
Making up our minds that we're never changing

'Cause we're getting lost and found when we're carried away
I feel it all around, even in our mistakes
And when we're up, we're down, in the evening space
We're getting lost and found, when we're carried away

When we're carried away

The truth gets tired when we lie awake
So we dive into dreams that they can't sedate
Breathe in and out, to go all the way
Trip 'till we're fixed in a higher state

And the light just flickers past our faces
Living in a dream 'cause we're always wasted
Never stay still when we're chasing places

And the light just flickers past our faces
Living at a dream 'cause we're always wasted
Making up our minds that we're never changing

'Cause we're getting lost and found when we're carried away
I feel it all around, even in our mistakes
And when we're up, we're down, in the evening space
We're getting lost and found, when we're carried away

Carry me, Carry me
Carry me, Carry me
Carry me, Carry me

And the light just flickers past our faces
We're living out a dream 'cause we're always wasted
And the light just flickers past our faces
We never stay still when we're chasing places

'Cause we're getting lost and found when we're carried away
I feel it all around even in our mistakes
And when we're up, we're down, in the evening space
We're getting lost and found when we're carried away

Carry me, Carry me
Carry me, Carry me
Carry me, Carry me"
On the Road,"I left New York in 1949
To go across the country without a bad blame dime
Montana in the cold cold fall
Found my father in the gambling hall

Father, Father where you been?
I've been out in the world and I'm only ten
Father, Father where you been?
I've been out in the world and I'm only ten

Don't worry about me if I should die of pleurisy

Across to Mississippi, across to Tennessee
Across the Niagara, home I'll never be
Home in ol' Medora, home in Ol' Truckee
Apalachicola, home I'll never be

Better or for worse, thick and thin
Like being married to the Little poor man
God he loves me (God he loves me)
Just like I love him (just like I love him)
I want you to do (I want you to do)
Just the same for him (just the same for him, yeah)

Well the worms eat away but don't worry watch the wind
So I left Monatana on an old freight train (on an old freight train)
The night my father died in the cold cold rain (in the cold cold rain)

Road to Opelousas, road to Wounded Knee
Road to Ogallala home I'll never be
Road to Oklahoma, road to El Cahon
Road to Tahachapi, road to San Antone

Hey, hey

Road to Opelousas, road to Wounded Knee
Road to Ogallala, home I'll never be
Road to Oklahoma, road to El Cahon
Road to Tahachapi, road to San Antone

Home I'll never be, home I'll never be
Home I'll never be, home I'll never be
Home I'll never be, home I'll never be"
Can't See Straight - Acoustic,"Oh oh oh oh-oh-oh
Oh oh oh oh-oh-oh oh

Shooting stars shining down on your face
Dancing in the moonlight with you
You keep me calm when I'm a certain disgrace
You keep me on my toes with your moves

And you pulled me inside out and outside in
Give my heart palpitations, keep my pulse racing

Oh and I can't see straight when I'm thinking 'bout you
Yeah you make my head spin with the things that you do
I feel dizzy when you tell me you love me too
I can't see straight when I'm thinking 'bout you

You're making magic got me under your spell
Girl you got the music in you
I'm falling for you and I know you can tell
'Cause you're reciprocating it too

You turned me upside down and downside up
Give me an education, how to fall in love

Oh and I can't see straight when I'm thinking 'bout you
Yeah, you make my head spin with the things that you do
I feel dizzy when you tell me you love me too
I can't see straight when I'm thinking 'bout you

Oh no, sing it to me now
And I'm head over heels and heels over head
You're the only explanation for my discombobulation, baby

I can't see straight when I'm thinking 'bout you
Yeah you make my head spin with the things that you do
I feel dizzy when you tell me you love me too
I can't see straight when I'm thinking 'bout you

I feel dizzy when you tell me you love me too
I can't see straight when I'm thinking 'bout you
No I can't see straight when I'm thinking 'bout you
"
Doing It Wrong,"When a good thing goes bad it's not the end of the world
It's just the end of a world, that you had with one girl
And she's the reason it happened, but she's overreacting
And it's all because she don't want things to change

So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
Cause you'll say you love me, and I'll end up lying
And say I love you too

But I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
Something's been missing
You know it, oh ho, she knows it
Oh ho, I know it, we all know it
I need someone different
(Oh ho, oh ho)

We live in a generation of, not being in love, and not being together
But we sure make it feel like we're together
Cause we're scared to see each other with somebody else

So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
Cause you'll say you love me, and I'll end up lying
And say I love you too

But I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
I need someone different
You know it, oh ho, you know it
Oh ho, you know it, we both know it
Something's been missing
You know it, oh ho, she knows it
Oh ho, I know it, we all know it
I need someone different"
Feel Like Makin' Love - 2015 Remastered Version,"Strollin' in the park
Watchin' winter turn to spring
Walkin' in the dark
Seein' lovers do their thing

Oo-oo-ooh
That's the time
I feel like makin' love to you
That's the time
I feel like makin' dreams come true, oh Baby

When you talk to me
When you're moanin' sweet and low
When you're touchin' me
And my feelin's start to show

Oo-oo-ooh
That's the time
I feel like makin' love to you
That's the time
I feel like makin' dreams come true, oh Baby

In a restaurant
holdin' hands by candlelight
While I'm touchin' you
Wanting you with all my might

Oo-oo-ooh
That's the time
I feel like makin' love to you
That's the time
I feel like makin' dreams come true, oh Baby

Strollin' in the park
Watchin' winter turn to spring
Walkin' in the dark
Seein' lovers do their thing

Oo-oo-ooh
That's the time
I feel like makin' love to you"
